Id	Temp	Centroid Size	Log Centroid Size
25C_010M-WING	25C	2.3531192458493613	0.8557417866801509
25C_011F-WING	25C	2.4511193747265767	0.8965448078587572
25C_012M-WING	25C	2.3709274905009923	0.8632812247940375
25C_013M-WING	25C	2.2775759996247475	0.8231117193536146
25C_015M-WING	25C	2.241138334861699	0.8069839219906922
25C_017F-WING	25C	2.6556720447951903	0.9766977468800169
25C_018M-WING	25C	2.263306172839489	0.8168266526122985
25C_019M-WING	25C	2.3635755944049395	0.8601755548331536
25C_001M-WING	25C	2.2764494640850996	0.822616976594004
25C_020F-WING	25C	2.564291870769265	0.9416823667331875
25C_021F-WING	25C	2.6011141080442175	0.9559398563401335
25C_022F-WING	25C	2.3498871269346817	0.854367295910913
25C_023F-WING	25C	2.7465459987579552	1.0103441217971747
25C_024F-WING	25C	2.7145809379448114	0.9986375908077144
25C_025M-WING	25C	2.356896305307752	0.8573456286322692
25C_027M-WING	25C	2.3344754795685176	0.8477872318690952
25C_028M-WING	25C	2.3522235737474726	0.855361082384185
25C_029M-WING	25C	2.4061252881926154	0.878017689427237
25C_002F-WING	25C	2.6391621205652878	0.9704614882092316
25C_030M-WING	25C	2.383478935570159	0.8685611580193948
25C_031M-WING	25C	2.2182697065175216	0.7967274805065492
25C_032M-WING	25C	2.3087096097315207	0.83668875794689
25C_033F-WING	25C	2.656618709926839	0.9770541525006347
25C_034M-WING	25C	2.3544203013763982	0.8562945406388215
25C_035F-WING	25C	2.6136929045573294	0.9607641272590196
25C_036M-WING	25C	2.367275235373642	0.8617396040310704
25C_037F-WING	25C	2.7006428051953364	0.9934898206729629
25C_038F-WING	25C	2.7252626907927002	1.0025648237598972
25C_039M-WING	25C	2.282059597243973	0.8250783673319779
25C_003M-WING	25C	2.3624311963314395	0.8596912567157192
25C_040F-WING	25C	2.5947753038468147	0.9534999247559041
25C_041M-WING	25C	2.3846072653723644	0.8690344421739659
25C_042M-WING	25C	2.337618537472129	0.8491326921129577
25C_043M-WING	25C	2.3846946216738107	0.8690710749154131
