disc,distance,value,area
MAX_hypoxia_1feb_1.oif,0,2129.985,164851.529
MAX_hypoxia_1feb_1.oif,1.243,2063.766,164851.529
MAX_hypoxia_1feb_1.oif,2.486,1892.56,164851.529
MAX_hypoxia_1feb_1.oif,3.729,1753.506,164851.529
MAX_hypoxia_1feb_1.oif,4.972,1692.924,164851.529
MAX_hypoxia_1feb_1.oif,6.215,1803.005,164851.529
MAX_hypoxia_1feb_1.oif,7.458,1867.561,164851.529
MAX_hypoxia_1feb_1.oif,8.701,1771.566,164851.529
MAX_hypoxia_1feb_1.oif,9.944,1765.804,164851.529
MAX_hypoxia_1feb_1.oif,11.187,1784.153,164851.529
MAX_hypoxia_1feb_1.oif,12.43,1766.88,164851.529
MAX_hypoxia_1feb_1.oif,13.673,1790.903,164851.529
MAX_hypoxia_1feb_1.oif,14.916,1800.555,164851.529
MAX_hypoxia_1feb_1.oif,16.159,1843.348,164851.529
MAX_hypoxia_1feb_1.oif,17.402,1916.899,164851.529
MAX_hypoxia_1feb_1.oif,18.645,1945.023,164851.529
MAX_hypoxia_1feb_1.oif,19.888,1948.369,164851.529
MAX_hypoxia_1feb_1.oif,21.13,1955.662,164851.529
MAX_hypoxia_1feb_1.oif,22.373,1969.674,164851.529
MAX_hypoxia_1feb_1.oif,23.616,2006.872,164851.529
MAX_hypoxia_1feb_1.oif,24.859,2046.734,164851.529
MAX_hypoxia_1feb_1.oif,26.102,2042.309,164851.529
MAX_hypoxia_1feb_1.oif,27.345,2057.562,164851.529
MAX_hypoxia_1feb_1.oif,28.588,2103.963,164851.529
MAX_hypoxia_1feb_1.oif,29.831,2134.268,164851.529
MAX_hypoxia_1feb_1.oif,31.074,2138.817,164851.529
MAX_hypoxia_1feb_1.oif,32.317,2150.264,164851.529
MAX_hypoxia_1feb_1.oif,33.56,2158.178,164851.529
MAX_hypoxia_1feb_1.oif,34.803,2160.684,164851.529
MAX_hypoxia_1feb_1.oif,36.046,2178.42,164851.529
MAX_hypoxia_1feb_1.oif,37.289,2188.376,164851.529
MAX_hypoxia_1feb_1.oif,38.532,2181.938,164851.529
MAX_hypoxia_1feb_1.oif,39.775,2204.241,164851.529
MAX_hypoxia_1feb_1.oif,41.018,2257.801,164851.529
MAX_hypoxia_1feb_1.oif,42.261,2272.812,164851.529
MAX_hypoxia_1feb_1.oif,43.504,2278.471,164851.529
MAX_hypoxia_1feb_1.oif,44.747,2284.51,164851.529
MAX_hypoxia_1feb_1.oif,45.99,2336.772,164851.529
MAX_hypoxia_1feb_1.oif,47.233,2412.617,164851.529
MAX_hypoxia_1feb_1.oif,48.476,2420.346,164851.529
MAX_hypoxia_1feb_1.oif,49.719,2403.797,164851.529
MAX_hypoxia_1feb_1.oif,50.962,2450.345,164851.529
MAX_hypoxia_1feb_1.oif,52.205,2470.971,164851.529
MAX_hypoxia_1feb_1.oif,53.448,2525.685,164851.529
MAX_hypoxia_1feb_1.oif,54.691,2523.053,164851.529
MAX_hypoxia_1feb_1.oif,55.934,2541.388,164851.529
MAX_hypoxia_1feb_1.oif,57.177,2536.782,164851.529
MAX_hypoxia_1feb_1.oif,58.42,2592.724,164851.529
MAX_hypoxia_1feb_1.oif,59.662,2667.856,164851.529
MAX_hypoxia_1feb_1.oif,60.905,2671.36,164851.529
MAX_hypoxia_1feb_1.oif,62.148,2671.627,164851.529
MAX_hypoxia_1feb_1.oif,63.391,2667.194,164851.529
MAX_hypoxia_1feb_1.oif,64.634,2707.008,164851.529
MAX_hypoxia_1feb_1.oif,65.877,2752.64,164851.529
MAX_hypoxia_1feb_1.oif,67.12,2749.923,164851.529
MAX_hypoxia_1feb_1.oif,68.363,2820.589,164851.529
MAX_hypoxia_1feb_1.oif,69.606,2827.51,164851.529
MAX_hypoxia_1feb_1.oif,70.849,2809.11,164851.529
MAX_hypoxia_1feb_1.oif,72.092,2770.083,164851.529
MAX_hypoxia_1feb_1.oif,73.335,2777.662,164851.529
MAX_hypoxia_1feb_1.oif,74.578,2858.791,164851.529
MAX_hypoxia_1feb_1.oif,75.821,2885.984,164851.529
MAX_hypoxia_1feb_1.oif,77.064,2938.311,164851.529
MAX_hypoxia_1feb_1.oif,78.307,2971.084,164851.529
MAX_hypoxia_1feb_1.oif,79.55,2983.294,164851.529
MAX_hypoxia_1feb_1.oif,80.793,2998.269,164851.529
MAX_hypoxia_1feb_1.oif,82.036,3003.806,164851.529
MAX_hypoxia_1feb_1.oif,83.279,3067.723,164851.529
MAX_hypoxia_1feb_1.oif,84.522,3089.96,164851.529
MAX_hypoxia_1feb_1.oif,85.765,3058.477,164851.529
MAX_hypoxia_1feb_1.oif,87.008,3028.176,164851.529
MAX_hypoxia_1feb_1.oif,88.251,2981.814,164851.529
MAX_hypoxia_1feb_1.oif,89.494,3082.823,164851.529
MAX_hypoxia_1feb_1.oif,90.737,3232.225,164851.529
MAX_hypoxia_1feb_1.oif,91.98,3353.475,164851.529
MAX_hypoxia_1feb_1.oif,93.223,3414.66,164851.529
MAX_hypoxia_1feb_1.oif,94.466,3492.651,164851.529
MAX_hypoxia_1feb_1.oif,95.709,3534.439,164851.529
MAX_hypoxia_1feb_1.oif,96.952,3509.012,164851.529
MAX_hypoxia_1feb_1.oif,98.195,3528.899,164851.529
MAX_hypoxia_1feb_1.oif,99.438,3431.032,164851.529
MAX_hypoxia_1feb_1.oif,100.68,3313.687,164851.529
MAX_hypoxia_1feb_1.oif,101.923,3166.765,164851.529
MAX_hypoxia_1feb_1.oif,103.166,3005.907,164851.529
MAX_hypoxia_1feb_1.oif,104.409,2840.919,164851.529
MAX_hypoxia_1feb_1.oif,105.652,2753.232,164851.529
MAX_hypoxia_1feb_1.oif,106.895,2682.576,164851.529
