disc,distance,value,area
MAX_26thoct_1.oif,0,1965.129,118208.845
MAX_26thoct_1.oif,1.243,2030.516,118208.845
MAX_26thoct_1.oif,2.486,2099.184,118208.845
MAX_26thoct_1.oif,3.729,2089.66,118208.845
MAX_26thoct_1.oif,4.972,2030.682,118208.845
MAX_26thoct_1.oif,6.215,1955.296,118208.845
MAX_26thoct_1.oif,7.458,1968.977,118208.845
MAX_26thoct_1.oif,8.701,1921.356,118208.845
MAX_26thoct_1.oif,9.944,1921.164,118208.845
MAX_26thoct_1.oif,11.187,1932.589,118208.845
MAX_26thoct_1.oif,12.43,1989.942,118208.845
MAX_26thoct_1.oif,13.673,2078.441,118208.845
MAX_26thoct_1.oif,14.916,2104.77,118208.845
MAX_26thoct_1.oif,16.159,2056.014,118208.845
MAX_26thoct_1.oif,17.402,1986.885,118208.845
MAX_26thoct_1.oif,18.645,2002.325,118208.845
MAX_26thoct_1.oif,19.888,1990.398,118208.845
MAX_26thoct_1.oif,21.13,1981.746,118208.845
MAX_26thoct_1.oif,22.373,1983.094,118208.845
MAX_26thoct_1.oif,23.616,2051.497,118208.845
MAX_26thoct_1.oif,24.859,2108.248,118208.845
MAX_26thoct_1.oif,26.102,2103.751,118208.845
MAX_26thoct_1.oif,27.345,2143.518,118208.845
MAX_26thoct_1.oif,28.588,2089.736,118208.845
MAX_26thoct_1.oif,29.831,2065.29,118208.845
MAX_26thoct_1.oif,31.074,2063.053,118208.845
MAX_26thoct_1.oif,32.317,2073.682,118208.845
MAX_26thoct_1.oif,33.56,2120.195,118208.845
MAX_26thoct_1.oif,34.803,2176.491,118208.845
MAX_26thoct_1.oif,36.046,2216.777,118208.845
MAX_26thoct_1.oif,37.289,2289.976,118208.845
MAX_26thoct_1.oif,38.532,2283.95,118208.845
MAX_26thoct_1.oif,39.775,2276.869,118208.845
MAX_26thoct_1.oif,41.018,2345.481,118208.845
MAX_26thoct_1.oif,42.261,2386.145,118208.845
MAX_26thoct_1.oif,43.504,2470.227,118208.845
MAX_26thoct_1.oif,44.747,2470.361,118208.845
MAX_26thoct_1.oif,45.99,2494.776,118208.845
MAX_26thoct_1.oif,47.233,2461.354,118208.845
MAX_26thoct_1.oif,48.476,2527.897,118208.845
MAX_26thoct_1.oif,49.719,2525.337,118208.845
MAX_26thoct_1.oif,50.962,2525.875,118208.845
MAX_26thoct_1.oif,52.205,2470.132,118208.845
