disc,distance,value,area,condition
MAX_17C14dec_12.oif,0,1462.589,140990.992,cold
MAX_17C14dec_12.oif,1.243,1379.293,140990.992,cold
MAX_17C14dec_12.oif,2.486,1345.028,140990.992,cold
MAX_17C14dec_12.oif,3.729,1278.447,140990.992,cold
MAX_17C14dec_12.oif,4.972,1274.317,140990.992,cold
MAX_17C14dec_12.oif,6.215,1292.916,140990.992,cold
MAX_17C14dec_12.oif,7.458,1277.951,140990.992,cold
MAX_17C14dec_12.oif,8.701,1326.446,140990.992,cold
MAX_17C14dec_12.oif,9.944,1335.36,140990.992,cold
MAX_17C14dec_12.oif,11.187,1359.103,140990.992,cold
MAX_17C14dec_12.oif,12.43,1410.042,140990.992,cold
MAX_17C14dec_12.oif,13.673,1431.22,140990.992,cold
MAX_17C14dec_12.oif,14.916,1444.112,140990.992,cold
MAX_17C14dec_12.oif,16.159,1446.366,140990.992,cold
MAX_17C14dec_12.oif,17.402,1469.137,140990.992,cold
MAX_17C14dec_12.oif,18.645,1475.308,140990.992,cold
MAX_17C14dec_12.oif,19.888,1493.122,140990.992,cold
MAX_17C14dec_12.oif,21.13,1497.515,140990.992,cold
MAX_17C14dec_12.oif,22.373,1508.755,140990.992,cold
MAX_17C14dec_12.oif,23.616,1495.87,140990.992,cold
MAX_17C14dec_12.oif,24.859,1492.246,140990.992,cold
MAX_17C14dec_12.oif,26.102,1511.894,140990.992,cold
MAX_17C14dec_12.oif,27.345,1509.162,140990.992,cold
MAX_17C14dec_12.oif,28.588,1511.859,140990.992,cold
MAX_17C14dec_12.oif,29.831,1535.327,140990.992,cold
MAX_17C14dec_12.oif,31.074,1572.833,140990.992,cold
MAX_17C14dec_12.oif,32.317,1546.675,140990.992,cold
MAX_17C14dec_12.oif,33.56,1534.294,140990.992,cold
MAX_17C14dec_12.oif,34.803,1522.327,140990.992,cold
MAX_17C14dec_12.oif,36.046,1519.947,140990.992,cold
MAX_17C14dec_12.oif,37.289,1501.663,140990.992,cold
MAX_17C14dec_12.oif,38.532,1493.73,140990.992,cold
