Id,Condition,Sex,Centroid Size,Log Centroid Size,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15
S_001M-WING,standard,M,2.276449464,0.8226169766,0.39554,1.04748,0.45996,0.95987,0.44321,0.86324,0.60813,0.81685,0.62101,0.87097,0.61199,1.0449,0.59267,1.21368,0.81685,1.13251,0.83618,1.07582,1.16859,1.1789,1.20209,1.03717,1.44431,1.82053,1.89139,1.75096,1.93005,1.5564,1.51646,0.96373
S_002F-WING,standard,F,2.639162121,0.9704614882,0.4329,0.96115,0.50892,0.86195,0.49217,0.74212,0.69961,0.68028,0.7112,0.75372,0.69188,0.94441,0.68543,1.15828,0.95342,1.06423,0.98177,0.99852,1.34124,1.11577,1.40566,0.94956,1.66978,1.85661,2.13362,1.80378,2.19675,1.60665,1.76255,0.88643
S_003M-WING,standard,M,2.362431196,0.8596912567,0.75114,1.86949,0.72666,1.75224,0.63905,1.68653,0.72537,1.52291,0.77562,1.55769,0.89158,1.68525,1.02815,1.82182,1.13123,1.58346,1.10159,1.52806,1.39149,1.35283,1.31547,1.21884,2.07692,1.57702,2.32945,1.20209,2.20963,1.03588,1.49069,0.92766
S_004M-WING,standard,M,2.190850353,0.7842897575,0.61199,1.24718,0.6339,1.15313,0.59782,1.06809,0.73439,0.97017,0.76016,1.01527,0.80397,1.16859,0.86066,1.32835,1.04748,1.18792,1.05006,1.12865,1.34897,1.11061,1.34639,0.96115,1.80378,1.59763,2.19804,1.39535,2.17098,1.21111,1.6234,0.79495
S_006M-WING,standard,M,2.402418191,0.8764758097,2.21479,1.68653,2.23798,1.57702,2.29982,1.50487,2.20963,1.35026,2.16067,1.38633,2.05889,1.52548,1.93649,1.66721,1.81151,1.44173,1.83857,1.38376,1.53965,1.23559,1.60021,1.09773,0.81943,1.51904,0.55788,1.16988,0.65709,0.99079,1.40179,0.81943
S_007M-WING,standard,M,2.391924005,0.8720980653,1.97901,1.43916,1.97385,1.33093,2.02796,1.24332,1.89912,1.11061,1.86047,1.15828,1.7909,1.31934,1.70328,1.48812,1.53579,1.29357,1.55383,1.2343,1.23816,1.15957,1.2562,1.00625,0.59138,1.58861,0.25897,1.30259,0.31308,1.1119,0.9895,0.77433
S_008M-WING,standard,M,2.365688286,0.8610690098,0.83102,2.08466,0.7898,1.97643,0.70089,1.92747,0.74985,1.74967,0.80397,1.77801,0.94183,1.88882,1.09644,1.99575,1.14926,1.75096,1.10803,1.69942,1.3451,1.48812,1.26007,1.36185,2.113,1.57187,2.27405,1.15828,2.13748,1.02815,1.3902,1.03975
S_009M-WING,standard,M,2.347492095,0.8533475645,2.1465,1.15828,2.0795,1.06294,2.0911,0.95987,1.91201,0.90189,1.90943,0.96373,1.91072,1.14411,1.92231,1.32449,1.6904,1.23043,1.68009,1.17117,1.33222,1.26909,1.30001,1.11834,1.01785,1.92876,0.59653,1.8463,0.55273,1.65304,0.97919,1.03975
S_010M-WING,standard,M,2.353119246,0.8557417867,0.81041,0.72924,0.74084,0.81556,0.64936,0.84391,0.66224,1.01656,0.71378,1.0114,0.87225,0.93925,1.04877,0.87483,1.03073,1.11705,0.98177,1.15571,1.1892,1.44302,1.06552,1.53064,1.9236,1.50487,1.98674,1.95968,1.81666,2.05889,1.09644,1.8682
S_011F-WING,standard,F,2.451119375,0.8965448079,0.39039,1.69426,0.41873,1.57702,0.36075,1.48296,0.50505,1.36701,0.53855,1.41468,0.61972,1.59119,0.67126,1.77672,0.8787,1.5899,0.86968,1.52162,1.20982,1.47523,1.19565,1.31289,1.78317,1.96999,2.16067,1.7239,2.13104,1.52291,1.47652,1.10288
S_012M-WING,standard,M,2.370927491,0.8632812248,0.61199,1.43014,0.63647,1.31289,0.57978,1.22399,0.7228,1.10417,0.75501,1.15571,0.8001,1.32062,0.8787,1.49198,1.05134,1.31418,1.04361,1.25105,1.38633,1.20853,1.37345,1.0449,1.95839,1.69813,2.31528,1.45333,2.28307,1.25749,1.65046,0.84262
