disc,area,A,B,C,D,O2
MAX_26thoct_1.oif,118208.845,0.663780143,0.947928425,2.459915638,36.02281872,normoxia
MAX_26thoct_10.oif,153695.291,0.563101964,0.919499186,-3.98659937,55.41444559,normoxia
MAX_26thoct_11.oif,172085.085,0.596085116,0.94395793,10.06777103,53.19329178,normoxia
MAX_26thoct_2.oif,147873.839,0.59687568,0.946642566,4.484806068,52.75383845,normoxia
MAX_26thoct_3.oif,196240.711,0.505596515,0.930528359,13.0947888,76.45868683,normoxia
MAX_26thoct_4.oif,140215.417,0.596677781,0.950918015,4.186046434,44.62846078,normoxia
MAX_26thoct_5.oif,180526.808,0.63676972,0.927995296,3.39897891,37.60719669,normoxia
MAX_26thoct_7.oif,119622.494,0.601847766,0.959152031,-5.32229297,43.43822202,normoxia
MAX_26thoct_9.oif,251649.562,0.660238102,0.936241716,15.63486298,52.80271973,normoxia
MAX_31stoct_10.oif,160009.589,0.787176861,0.964034311,4.76860423,36.48290342,normoxia
MAX_31stoct_12.oif,167437.811,0.746226387,0.947196848,4.437192342,36.15017332,normoxia
MAX_31stoct_13.oif,116877.08,0.738891349,0.95434485,-2.672371302,31.43359868,normoxia
MAX_31stoct_14.oif,165999.443,0.588222128,0.925949184,2.168120041,52.96971545,normoxia
MAX_31stoct_7.oif,174745.525,0.818404931,0.990708156,0.138611684,3.435725244,normoxia
MAX_31stoct_8.oif,173733.569,0.620481926,0.960476051,6.646437392,50.6208146,normoxia
MAX_31stoct_9.oif,40130.63,0.588896484,0.933783918,-12.76738773,47.04392594,normoxia
MAX_hypoxia_1feb_1.oif,164851.529,0.498141373,0.864709112,6.187081119,36.98447039,hypoxia
MAX_hypoxia_1feb_10.oif,130811.176,0.480719954,0.957063591,-1.386872663,31.06375434,hypoxia
MAX_hypoxia_1feb_11.oif,192610.029,0.462244351,0.934318798,1.562410477,26.70463605,hypoxia
MAX_hypoxia_1feb_12.oif,225105.41,0.430583387,0.858518864,2.688040169,34.23555112,hypoxia
MAX_hypoxia_1feb_13.oif,169407.649,0.461992169,0.880588372,2.010891996,29.64012037,hypoxia
MAX_hypoxia_1feb_14.oif,242046.021,0.480577172,0.851527336,0.545867369,38.67838171,hypoxia
MAX_hypoxia_1feb_15.oif,231634.459,0.453436089,0.875631436,5.20272234,40.62422155,hypoxia
MAX_hypoxia_1feb_17.oif,231136.978,0.453467966,0.882487743,5.095066339,40.79900709,hypoxia
MAX_hypoxia_1feb_19.oif,169095.565,0.453039238,0.91801808,2.449142828,30.03746413,hypoxia
MAX_hypoxia_1feb_2.oif,218995.049,0.53241223,0.9028526,2.76752421,33.57425286,hypoxia
MAX_hypoxia_1feb_20.oif,231753.422,0.45860639,0.876170031,4.079682178,37.5099773,hypoxia
MAX_hypoxia_1feb_21.oif,189694.668,0.438799461,0.889163932,2.410712512,32.23488442,hypoxia
MAX_hypoxia_1feb_22.oif,212143.101,0.493355042,0.879402731,-1.718486105,23.26779707,hypoxia
MAX_hypoxia_1feb_23.oif,204489.313,0.476823985,0.902338447,3.554788725,31.22318026,hypoxia
MAX_hypoxia_1feb_24.oif,176003.132,0.459331758,0.881491758,-0.281373412,23.47055175,hypoxia
MAX_hypoxia_1feb_25.oif,180557.707,0.486500974,0.904441084,-2.044563676,32.51636033,hypoxia
MAX_hypoxia_1feb_3.oif,185807.52,0.572544512,0.937960207,2.601149486,27.16376073,hypoxia
MAX_hypoxia_1feb_4.oif,150038.344,0.517389613,0.971881248,-2.657988324,27.3920813,hypoxia
MAX_hypoxia_1feb_5.oif,156191.965,0.403290879,0.898767273,1.422331966,28.27627789,hypoxia
MAX_hypoxia_1feb_6.oif,168794.296,0.453548965,0.878912934,-1.908823999,26.84368516,hypoxia
MAX_hypoxia_1feb_7.oif,207566.896,0.389553192,0.907375456,9.206202921,53.92967224,hypoxia
MAX_hypoxia_23jan_1.oif,169350.486,0.447373934,0.927038339,1.559224985,39.61526409,hypoxia
MAX_hypoxia_23jan_10.oif,201750.079,0.496765013,0.913476848,2.569267991,33.50359543,hypoxia
MAX_hypoxia_23jan_12.oif,166245.093,0.400989701,0.905110284,7.603818418,43.5398241,hypoxia
MAX_hypoxia_23jan_13.oif,148749.838,0.447972422,0.926023246,5.954117051,43.4853186,hypoxia
MAX_hypoxia_23jan_14.oif,179131.699,0.522477013,0.917500392,-0.457489893,30.70745333,hypoxia
MAX_hypoxia_23jan_15.oif,180803.358,0.473602693,0.915474299,0.935872934,33.22765438,hypoxia
MAX_hypoxia_23jan_16.oif,134050.981,0.492782401,0.909485678,8.495230253,24.95876001,hypoxia
MAX_hypoxia_23jan_17.oif,212153.916,0.429949642,0.851230304,3.662448962,33.2960159,hypoxia
MAX_hypoxia_23jan_18.oif,155200.093,0.520554458,0.90200807,2.379400441,26.94664202,hypoxia
MAX_hypoxia_23jan_19.oif,158206.607,0.444736176,0.905815218,1.327930749,28.20390902,hypoxia
MAX_hypoxia_23jan_20.oif,146186.731,0.423782555,0.931516361,-0.478786523,30.75690297,hypoxia
MAX_hypoxia_23jan_21.oif,160775.895,0.606440084,0.901354027,3.056987551,22.58153196,hypoxia
MAX_hypoxia_23jan_22.oif,164642.958,0.514482099,0.935347878,-0.17075673,32.58765798,hypoxia
MAX_hypoxia_23jan_23.oif,159536.828,0.505035052,0.88104491,2.630467833,30.10681926,hypoxia
MAX_hypoxia_23jan_24.oif,169267.057,0.543184424,0.925370728,-0.376291645,31.04177559,hypoxia
MAX_hypoxia_23jan_3.oif,159884.446,0.482299366,0.881505629,3.589967881,31.57259355,hypoxia
MAX_hypoxia_23jan_4.oif,136522.935,0.477554987,0.933383569,0.14815192,37.66981059,hypoxia
MAX_hypoxia_23jan_5.oif,180125.115,0.477693609,0.928846875,2.696318236,38.64096964,hypoxia
MAX_hypoxia_23jan_6.oif,144326.585,0.551213261,0.958637971,-5.314121101,35.49625133,hypoxia
MAX_hypoxia_23jan_7.oif,188545.209,0.539089933,0.890636799,5.725879952,38.27754853,hypoxia
MAX_hypoxia_23jan_8.oif,190613.926,0.530026521,0.876879275,9.0172623,38.206512,hypoxia
MAX_hypoxia_23jan_9.oif,183361.83,0.528278797,0.892624076,8.198505032,30.05768936,hypoxia
MAX_5thoct_1.oif,74725.628,0.510275102,0.933883655,6.079081469,43.05565095,normoxia
MAX_5thoct_10.oif,104126.432,0.480386392,0.919242267,0.844308287,36.01249267,normoxia
MAX_5thoct_11.oif,120741.053,0.525484188,0.910131284,1.048161735,26.09260081,normoxia
MAX_5thoct_12.oif,99126.904,0.356474878,0.933021413,-0.936783086,50.44723269,normoxia
MAX_5thoct_13.oif,66858.634,0.478687664,0.92889069,1.438804108,25.95167787,normoxia
MAX_5thoct_16.oif,131793.778,0.700259937,0.901083191,-20.0065148,33.64335976,normoxia
MAX_5thoct_2.oif,50191.483,0.521233456,0.903300579,-3.115557398,28.45380749,normoxia
MAX_5thoct_3.oif,59892.358,0.560379644,0.930412871,-4.220120908,27.2192258,normoxia
MAX_5thoct_4.oif,100491.114,0.526996565,0.975003938,0.703067346,38.3238185,normoxia
MAX_5thoct_5.oif,56864.214,0.458488497,0.925678492,1.742642845,36.44557998,normoxia
MAX_5thoct_6.oif,79575.292,0.461129756,0.944046959,1.718312859,39.23773602,normoxia
MAX_5thoct_7.oif,85583.686,0.412578312,0.921479999,-0.713262645,43.33602333,normoxia
MAX_5thoct_8.oif,58061.567,0.481605232,0.927281626,-3.381476321,25.39590267,normoxia
MAX_5thoct_9.oif,66036.709,0.506179283,0.924912147,0.252094219,23.48856193,normoxia
MAX_6thoct_1.oif,113417.889,0.608868893,0.930974321,2.88496538,27.89545671,normoxia
MAX_6thoct_2.oif,148043.786,0.55452831,0.947851357,9.926175721,38.57461654,normoxia
MAX_6thoct_3.oif,168934.888,0.15412032,0.95304591,5.591495743,67.44042105,normoxia
MAX_6thoct_5.oif,88495.957,0.66437843,0.938208752,3.622272269,23.15306446,normoxia
MAX_6thoct_6.oif,167317.303,0.548265861,0.98211596,3.47428561,46.99903869,normoxia
MAX_6thoct_7.oif,161151.323,0.526858193,0.937489492,2.340658859,42.2189582,normoxia
